ТИК;УИК;Число избирателей, внесенных в список;Число бюллетеней, полученных УИК;Число бюллетеней, выданных в помещении для голосования;Число бюллетеней, выданных вне помещения для голосования;Число погашенных бюллетеней;Число бюллетеней, содержащихся в переносных ящиках;Число бюллетеней, содержащихся в стационарных ящиках;Число недействительных бюллетеней;Число действительных бюллетеней;Число открепительных удостоверений, полученных УИК;Число открепительных удостоверений, выданных УИК до дня голосования;Число избирателей, проголосовавших по открепительным удостоверениям;Число неиспользованных открепительных удостоверений;Число открепительных удостоверений, выданных ТИК избирателям;Число утраченных открепительных удостоверений;Число утраченных бюллетеней;Число бюллетеней, не учтенных при получении;ТИК;УИК
район Гольяново ;970;2487;2000;750;31;1219;31;750;15;766;0;0;6;0;3;0;0;0;район Гольяново ;970
район Гольяново ;971;2543;2000;673;25;1302;25;672;12;685;0;0;4;0;4;0;0;0;район Гольяново ;971
район Гольяново ;972;2184;2000;677;28;1295;28;676;10;694;0;0;0;0;1;0;0;0;район Гольяново ;972
район Гольяново ;973;2185;2000;603;32;1365;32;603;9;626;0;0;1;0;4;0;0;0;район Гольяново ;973
район Гольяново ;974;2503;2000;677;54;1269;54;677;24;707;0;0;0;0;0;0;0;0;район Гольяново ;974
район Гольяново ;975;2320;2000;669;25;1306;25;667;4;688;0;0;0;0;3;0;0;0;район Гольяново ;975
район Гольяново ;976;2415;2000;740;23;1237;23;740;14;749;0;0;9;0;4;0;0;0;район Гольяново ;976
район Гольяново ;977;2461;2000;755;51;1194;51;753;7;797;0;0;6;0;3;0;0;0;район Гольяново ;977
район Гольяново ;978;2048;2000;564;19;1417;19;564;9;574;0;0;1;0;2;0;0;0;район Гольяново ;978
район Гольяново ;979;2452;2000;600;29;1371;29;600;11;618;0;0;0;0;2;0;0;0;район Гольяново ;979
район Гольяново ;980;2262;2000;656;26;1318;26;656;10;672;0;0;0;0;5;0;0;0;район Гольяново ;980
район Гольяново ;981;2300;2000;615;26;1359;26;612;11;627;0;0;1;0;0;0;0;0;район Гольяново ;981
район Гольяново ;982;2034;2000;576;28;1396;28;576;4;600;0;0;0;0;0;0;0;0;район Гольяново ;982
район Гольяново ;983;2254;2000;710;29;1261;29;708;15;722;0;0;0;0;0;0;0;0;район Гольяново ;983
район Гольяново ;984;2482;2000;716;21;1263;21;716;22;715;0;0;0;0;4;0;0;0;район Гольяново ;984
район Гольяново ;985;2497;2000;732;35;1233;35;732;14;753;0;0;0;0;0;0;0;0;район Гольяново ;985
район Гольяново ;986;2475;2000;715;16;1269;16;715;13;718;0;0;0;0;2;0;0;0;район Гольяново ;986
район Гольяново ;987;2387;2000;578;14;1408;14;578;9;583;0;0;2;0;2;0;0;0;район Гольяново ;987
район Гольяново ;988;2218;2000;695;20;1286;20;695;11;704;0;0;0;0;1;0;0;1;район Гольяново ;988
район Гольяново ;989;2326;2000;657;18;1325;18;656;5;669;0;0;1;0;2;0;0;0;район Гольяново ;989
район Ивановское ;990;2128;2000;729;28;1243;28;729;14;743;0;0;2;0;2;0;0;0;район Ивановское ;990
район Ивановское ;991;2083;1950;690;50;1210;50;690;16;724;0;0;0;0;2;0;0;0;район Ивановское ;991
район Ивановское ;992;2382;2250;770;48;1432;48;769;11;806;0;0;0;0;3;0;0;0;район Ивановское ;992
район Ивановское ;993;2383;2250;748;40;1462;40;746;9;777;0;0;0;0;2;0;0;0;район Ивановское ;993
район Ивановское ;994;2453;2300;814;45;1441;45;814;11;848;0;0;0;0;2;0;0;0;район Ивановское ;994
район Ивановское ;995;2362;2250;756;49;1445;49;756;15;790;0;0;0;0;0;0;0;0;район Ивановское ;995
район Ивановское ;996;2432;2300;888;56;1356;56;888;13;931;0;0;1;0;2;0;0;0;район Ивановское ;996
район Ивановское ;997;2077;1950;654;29;1267;29;654;17;666;0;0;4;0;4;0;0;0;район Ивановское ;997
район Ивановское ;998;2418;2250;890;39;1321;39;889;18;910;0;0;0;0;1;0;0;0;район Ивановское ;998
район Ивановское ;999;2392;2250;663;43;1544;43;663;13;693;0;0;2;0;1;0;0;0;район Ивановское ;999
район Ивановское ;1000;2393;2250;715;32;1503;32;715;16;731;0;0;2;0;2;0;0;0;район Ивановское ;1000
район Ивановское ;1001;2293;2150;697;37;1416;37;697;13;721;0;0;6;0;1;0;0;0;район Ивановское ;1001
район Ивановское ;1002;1998;1900;506;24;1370;24;506;8;522;0;0;2;0;1;0;0;0;район Ивановское ;1002
район Ивановское ;1003;1997;1900;558;42;1300;42;558;10;590;0;0;3;0;4;0;0;0;район Ивановское ;1003
район Ивановское ;1004;2096;1950;690;32;1228;32;690;18;704;0;0;1;0;2;0;0;0;район Ивановское ;1004
район Ивановское ;1005;2394;2250;615;24;1611;24;615;5;634;0;0;2;0;3;0;0;0;район Ивановское ;1005
район Ивановское ;1006;2054;1900;605;30;1265;30;605;12;623;0;0;0;0;3;0;0;0;район Ивановское ;1006
район Ивановское ;1007;2239;2100;653;43;1404;43;653;19;677;0;0;0;0;3;0;0;0;район Ивановское ;1007
район Ивановское ;1008;2119;2000;601;45;1354;45;601;12;634;0;0;0;0;1;0;0;0;район Ивановское ;1008
район Ивановское ;1009;2058;1900;676;47;1177;47;675;16;706;0;0;4;0;1;0;0;0;район Ивановское ;1009
район Ивановское ;1010;2003;1900;573;63;1264;63;571;15;619;0;0;3;0;3;0;0;0;район Ивановское ;1010
район Ивановское ;1011;2063;1950;527;38;1385;38;526;13;551;0;0;1;0;3;0;0;0;район Ивановское ;1011
район Ивановское ;1012;2374;2250;721;27;1502;27;721;4;744;0;0;2;0;2;0;0;0;район Ивановское ;1012
район Ивановское ;1013;662;568;323;13;232;13;321;4;330;0;0;3;0;0;0;0;0;район Ивановское ;1013
район Ивановское ;1014;2288;2150;695;28;1427;28;695;12;711;0;0;0;0;2;0;0;0;район Ивановское ;1014
район Ивановское ;1015;2271;2150;606;43;1501;43;605;15;633;0;0;4;0;1;0;0;0;район Ивановское ;1015
район Ивановское ;1016;2248;2100;793;49;1258;49;793;11;831;0;0;3;0;3;0;0;0;район Ивановское ;1016
район Ивановское ;1017;2434;2300;846;63;1391;63;845;12;896;0;0;1;0;0;0;0;0;район Ивановское ;1017
район Ивановское ;1018;2309;2150;717;43;1390;43;717;19;741;0;0;5;0;0;0;0;0;район Ивановское ;1018
район Ивановское ;1019;2366;2200;780;44;1376;44;780;8;816;0;0;8;0;3;0;0;0;район Ивановское ;1019
район Ивановское ;1020;2314;2150;714;35;1401;35;714;9;740;0;0;0;0;1;0;0;0;район Ивановское ;1020
район Ивановское ;1021;2013;1900;631;40;1229;40;628;15;653;0;0;3;0;4;0;0;0;район Ивановское ;1021
район Ивановское ;1022;2020;1900;670;39;1191;39;670;10;699;0;0;1;0;3;0;0;0;район Ивановское ;1022
район Ивановское ;1023;2038;1900;660;32;1208;32;660;11;681;0;0;0;0;1;0;0;0;район Ивановское ;1023
район Ивановское ;1024;2147;2000;750;56;1194;56;750;17;789;0;0;1;0;3;0;0;0;район Ивановское ;1024
район Ивановское ;1025;2121;2000;679;44;1277;44;679;14;709;0;0;1;0;0;0;0;0;район Ивановское ;1025
район Измайлово ;1026;899;850;243;5;602;5;243;1;247;0;0;0;0;1;0;0;0;район Измайлово ;1026
район Измайлово ;1027;1292;1200;437;22;741;22;436;7;451;0;0;1;0;1;0;0;0;район Измайлово ;1027
район Измайлово ;1028;1724;1700;473;18;1209;18;472;8;482;0;0;0;0;1;0;0;0;район Измайлово ;1028
район Измайлово ;1029;1769;1730;509;17;1204;17;509;15;511;0;0;0;0;1;0;0;0;район Измайлово ;1029
район Измайлово ;1030;1714;1700;580;24;1096;24;580;14;590;0;0;0;0;0;0;0;0;район Измайлово ;1030
район Измайлово ;1031;1620;1600;482;16;1102;16;481;5;492;0;0;0;0;2;0;0;0;район Измайлово ;1031
район Измайлово ;1032;1740;1700;438;20;1242;20;438;5;453;0;0;0;0;0;0;0;0;район Измайлово ;1032
район Измайлово ;1033;1308;1300;374;19;907;19;374;3;390;0;0;0;0;0;0;0;0;район Измайлово ;1033
район Измайлово ;1034;1848;1800;617;37;1146;37;616;10;643;0;0;0;0;0;0;0;0;район Измайлово ;1034
район Измайлово ;1035;1999;1950;628;21;1301;21;626;12;635;0;0;0;0;1;0;0;0;район Измайлово ;1035
район Измайлово ;1036;1578;1550;510;20;1020;20;510;10;520;0;0;0;0;0;0;0;0;район Измайлово ;1036
район Измайлово ;1037;1315;1300;452;19;829;19;451;1;469;0;0;0;0;2;0;0;0;район Измайлово ;1037
район Измайлово ;1038;2054;2050;622;23;1405;23;622;1;644;0;0;0;0;4;0;0;0;район Измайлово ;1038
район Измайлово ;1039;2416;2400;740;55;1605;55;736;12;779;0;0;6;0;1;0;0;0;район Измайлово ;1039
район Измайлово ;1040;2089;2050;633;29;1388;29;633;10;652;0;0;1;0;2;0;0;0;район Измайлово ;1040
район Измайлово ;1041;2188;2150;670;18;1462;18;667;5;680;0;0;1;0;1;0;0;0;район Измайлово ;1041
район Измайлово ;1042;1469;1450;456;28;966;28;456;7;477;0;0;2;0;0;0;0;0;район Измайлово ;1042
район Измайлово ;1043;1676;1650;600;28;1022;28;600;6;622;0;0;0;0;7;0;0;0;район Измайлово ;1043
район Измайлово ;1044;1878;1850;608;23;1219;23;608;14;617;0;0;0;0;5;0;0;0;район Измайлово ;1044
район Измайлово ;1045;684;650;200;16;434;16;200;3;213;0;0;3;0;0;0;0;0;район Измайлово ;1045
район Измайлово ;1046;1020;1000;361;8;631;8;361;6;363;0;0;6;0;3;0;0;0;район Измайлово ;1046
район Измайлово ;1047;1410;1350;487;18;845;18;487;9;496;0;0;0;0;1;0;0;0;район Измайлово ;1047
район Измайлово ;1048;2478;2450;837;27;1586;27;835;8;854;0;0;1;0;4;0;0;0;район Измайлово ;1048
район Измайлово ;1049;742;740;229;4;507;4;229;8;225;0;0;1;0;1;0;0;0;район Измайлово ;1049
район Измайлово ;1050;2065;2000;598;18;1384;18;598;7;609;0;0;0;0;1;0;0;0;район Измайлово ;1050
район Измайлово ;1051;1812;1800;634;23;1143;23;634;6;651;0;0;0;0;1;0;0;0;район Измайлово ;1051
район Измайлово ;1052;2452;2400;791;38;1571;38;790;6;822;0;0;1;0;1;0;0;0;район Измайлово ;1052
район Измайлово ;1053;2097;2100;736;16;1348;16;736;6;746;0;0;3;0;4;0;0;0;район Измайлово ;1053
район Измайлово ;1054;2418;2350;823;13;1514;13;823;12;824;0;0;2;0;1;0;0;0;район Измайлово ;1054
район Измайлово ;1055;2215;2100;782;27;1291;27;779;10;796;0;0;0;0;14;0;0;0;район Измайлово ;1055
район Измайлово ;1056;1320;1300;388;16;896;16;388;5;399;0;0;0;0;0;0;0;0;район Измайлово ;1056
район Измайлово ;1057;1908;1900;658;24;1218;24;658;16;666;0;0;1;0;1;0;0;0;район Измайлово ;1057
район Измайлово ;1058;1743;1700;564;26;1110;26;563;13;576;0;0;0;0;2;0;0;0;район Измайлово ;1058
район Измайлово ;1059;2037;2000;654;34;1312;34;653;9;678;0;0;5;0;2;0;0;0;район Измайлово ;1059
район Измайлово ;3671;76;300;76;0;224;0;76;2;74;0;0;0;0;0;0;0;0;район Измайлово ;3671
район Измайлово ;3672;45;100;45;0;55;0;45;1;44;0;0;0;0;0;0;0;0;район Измайлово ;3672
район Измайлово ;3673;62;100;62;0;38;0;62;1;61;0;0;0;0;0;0;0;0;район Измайлово ;3673
район Косино-Ухтомский ;1060;1103;1000;328;27;645;27;328;4;351;0;0;0;0;1;0;0;0;район Косино-Ухтомский ;1060
район Косино-Ухтомский ;1061;2275;2100;703;54;1343;54;699;9;744;0;0;1;0;2;0;0;0;район Косино-Ухтомский ;1061
район Косино-Ухтомский ;1062;2133;2000;618;52;1329;52;616;12;656;0;0;0;0;2;0;1;0;район Косино-Ухтомский ;1062
район Косино-Ухтомский ;1063;1995;1800;661;59;1080;59;661;7;713;0;0;0;0;4;0;0;0;район Косино-Ухтомский ;1063
район Косино-Ухтомский ;1064;2025;1800;603;66;1131;66;603;13;656;0;0;4;0;0;0;0;0;район Косино-Ухтомский ;1064
район Косино-Ухтомский ;1065;1872;1700;584;8;1109;8;584;6;586;0;0;0;0;0;0;0;1;район Косино-Ухтомский ;1065
район Косино-Ухтомский ;1066;1771;1600;563;3;1034;3;563;8;558;0;0;0;0;0;0;0;0;район Косино-Ухтомский ;1066
район Косино-Ухтомский ;1067;2332;2000;788;29;1183;29;787;11;805;0;0;0;0;1;0;0;0;район Косино-Ухтомский ;1067
район Косино-Ухтомский ;1068;2313;2000;740;12;1249;12;739;18;733;1;0;0;1;2;0;0;1;район Косино-Ухтомский ;1068
район Косино-Ухтомский ;1069;2046;1800;619;26;1155;26;619;14;631;0;0;3;0;1;0;0;0;район Косино-Ухтомский ;1069
