ТИК;УИК;Дегтярев Михаил Владимирович;Левичев Николай Владимирович;Мельников Иван Иванович;Митрохин Сергей Сергеевич;Навальный Алексей Анатольевич;Собянин Сергей Семенович;ТИК;УИК
район Восточное Измайлово ;919;0,73;0,98;4,89;0,24;1,71;89,73;район Восточное Измайлово ;919
район Восточное Измайлово ;920;3,52;0,97;11,17;2,67;28,76;51,58;район Восточное Измайлово ;920
район Восточное Измайлово ;921;4,00;2,91;14,36;4,00;22,18;51,27;район Восточное Измайлово ;921
район Восточное Измайлово ;922;3,59;4,01;10,91;3,73;23,76;53,31;район Восточное Измайлово ;922
район Восточное Измайлово ;923;3,29;1,14;11,30;3,86;28,33;50,79;район Восточное Измайлово ;923
район Восточное Измайлово ;924;2,93;2,39;12,63;3,86;30,32;45,74;район Восточное Измайлово ;924
район Восточное Измайлово ;925;3,79;2,73;14,42;3,34;25,64;49,47;район Восточное Измайлово ;925
район Восточное Измайлово ;926;3,55;3,39;15,19;4,68;30,37;41,68;район Восточное Измайлово ;926
район Восточное Измайлово ;927;3,38;2,16;16,62;3,92;30,00;42,43;район Восточное Измайлово ;927
район Восточное Измайлово ;928;4,43;2,49;11,68;3,89;35,03;41,51;район Восточное Измайлово ;928
район Восточное Измайлово ;929;2,91;3,06;11,94;4,90;28,79;47,32;район Восточное Измайлово ;929
район Восточное Измайлово ;930;4,44;2,42;13,46;3,36;23,55;50,34;район Восточное Измайлово ;930
район Восточное Измайлово ;931;1,85;2,71;11,08;3,69;34,73;44,33;район Восточное Измайлово ;931
район Восточное Измайлово ;932;2,70;5,41;12,84;4,05;18,24;54,73;район Восточное Измайлово ;932
район Восточное Измайлово ;933;2,83;5,49;11,30;3,30;30,93;44,27;район Восточное Измайлово ;933
район Восточное Измайлово ;934;2,01;3,29;10,60;3,84;27,42;51,74;район Восточное Измайлово ;934
район Восточное Измайлово ;935;1,88;3,20;13,36;4,86;27,81;47,79;район Восточное Измайлово ;935
район Восточное Измайлово ;936;3,50;2,63;13,58;3,36;29,05;45,40;район Восточное Измайлово ;936
район Восточное Измайлово ;937;2,68;2,90;13,95;4,51;24,25;50,64;район Восточное Измайлово ;937
район Восточное Измайлово ;938;3,00;4,15;11,02;4,58;28,90;47,50;район Восточное Измайлово ;938
район Восточное Измайлово ;939;2,96;3,43;10,61;4,21;30,42;45,87;район Восточное Измайлово ;939
район Восточное Измайлово ;3669;1,65;2,07;10,33;4,55;8,26;70,25;район Восточное Измайлово ;3669
район Восточное Измайлово ;3670;10,53;0,00;10,53;0,00;15,79;63,16;район Восточное Измайлово ;3670
район Гольяново ;944;3,81;4,42;13,14;7,25;24,20;43,86;район Гольяново ;944
район Гольяново ;945;4,05;3,04;9,11;4,86;26,72;50,40;район Гольяново ;945
район Гольяново ;946;9,46;1,35;13,51;4,05;21,62;48,65;район Гольяново ;946
район Гольяново ;947;3,78;4,59;11,07;4,05;25,37;49,39;район Гольяново ;947
район Гольяново ;948;5,06;2,53;17,22;6,79;27,80;39,02;район Гольяново ;948
район Гольяново ;949;5,62;3,67;14,67;6,11;23,47;44,25;район Гольяново ;949
район Гольяново ;950;3,23;4,45;11,83;5,22;31,49;41,94;район Гольяново ;950
район Гольяново ;951;4,79;3,80;10,28;5,63;27,46;45,92;район Гольяново ;951
район Гольяново ;952;3,59;3,59;9,12;4,33;36,02;41,70;район Гольяново ;952
район Гольяново ;953;2,40;2,69;14,29;5,80;31,82;42,15;район Гольяново ;953
район Гольяново ;954;2,72;2,72;11,39;4,46;26,49;48,27;район Гольяново ;954
район Гольяново ;955;4,56;2,64;11,03;2,99;29,62;47,72;район Гольяново ;955
район Гольяново ;956;2,34;2,90;10,48;4,41;32,14;47,31;район Гольяново ;956
район Гольяново ;957;4,07;2,39;10,96;4,35;28,23;47,61;район Гольяново ;957
район Гольяново ;958;3,31;3,97;10,32;4,50;32,14;43,78;район Гольяново ;958
район Гольяново ;959;2,69;3,96;10,18;4,10;30,98;45,54;район Гольяново ;959
район Гольяново ;960;2,11;2,77;15,32;5,55;28,40;43,99;район Гольяново ;960
район Гольяново ;961;2,04;4,59;10,71;4,08;31,80;44,56;район Гольяново ;961
район Гольяново ;962;2,27;2,72;14,17;3,51;32,65;42,29;район Гольяново ;962
район Гольяново ;963;3,10;1,72;13,10;3,97;33,10;43,45;район Гольяново ;963
район Гольяново ;964;2,63;1,80;11,91;2,77;28,12;50,55;район Гольяново ;964
район Гольяново ;965;2,28;2,68;11,81;2,15;24,97;55,17;район Гольяново ;965
район Гольяново ;966;2,08;2,37;15,13;4,01;29,38;45,25;район Гольяново ;966
район Гольяново ;967;2,87;2,37;10,86;4,37;28,46;49,44;район Гольяново ;967
район Гольяново ;968;4,15;1,89;13,46;3,27;27,04;49,18;район Гольяново ;968
район Гольяново ;969;3,82;1,53;11,45;4,12;26,87;50,69;район Гольяново ;969
район Гольяново ;970;2,94;2,43;11,40;2,30;29,19;49,81;район Гольяново ;970
район Гольяново ;971;3,30;2,15;12,48;6,17;28,98;45,19;район Гольяново ;971
район Гольяново ;972;2,41;2,56;11,22;4,12;33,81;44,46;район Гольяново ;972
район Гольяново ;973;3,15;1,73;11,97;3,46;27,72;50,55;район Гольяново ;973
район Гольяново ;974;3,69;2,05;9,44;5,06;23,94;52,53;район Гольяново ;974
район Гольяново ;975;2,31;1,88;11,56;3,47;25,43;54,77;район Гольяново ;975
район Гольяново ;976;4,85;3,67;9,44;4,59;22,41;53,21;район Гольяново ;976
район Гольяново ;977;3,73;2,99;11,82;3,98;26,49;50,12;район Гольяново ;977
район Гольяново ;978;5,15;1,54;12,01;4,46;26,76;48,54;район Гольяново ;978
район Гольяново ;979;4,29;1,75;11,45;2,54;28,93;49,28;район Гольяново ;979
район Гольяново ;980;2,20;2,05;9,53;4,55;29,03;51,17;район Гольяново ;980
район Гольяново ;981;3,13;3,29;17,55;4,70;28,99;40,60;район Гольяново ;981
район Гольяново ;982;1,99;3,31;11,75;3,81;26,66;51,82;район Гольяново ;982
район Гольяново ;983;4,21;3,80;12,89;3,93;28,09;45,05;район Гольяново ;983
район Гольяново ;984;4,07;1,76;11,67;3,39;24,42;51,70;район Гольяново ;984
район Гольяново ;985;3,26;2,87;9,65;3,78;19,69;58,93;район Гольяново ;985
район Гольяново ;986;3,01;1,09;9,85;3,69;25,17;55,40;район Гольяново ;986
район Гольяново ;987;2,70;2,03;11,49;1,69;26,52;54,05;район Гольяново ;987
район Гольяново ;988;3,36;2,24;12,87;4,90;25,17;49,93;район Гольяново ;988
район Гольяново ;989;3,56;2,97;10,39;3,86;26,85;51,63;район Гольяново ;989
район Ивановское ;990;3,17;2,91;10,44;3,57;26,29;51,78;район Ивановское ;990
район Ивановское ;991;4,46;1,35;12,03;2,84;25,14;52,03;район Ивановское ;991
район Ивановское ;992;2,33;2,82;8,45;2,08;25,83;57,16;район Ивановское ;992
район Ивановское ;993;2,67;1,78;13,61;5,09;27,99;47,71;район Ивановское ;993
район Ивановское ;994;2,91;2,33;9,20;3,49;22,93;57,86;район Ивановское ;994
