ТИК;УИК;Дегтярев Михаил Владимирович;Левичев Николай Владимирович;Мельников Иван Иванович;Митрохин Сергей Сергеевич;Навальный Алексей Анатольевич;Собянин Сергей Семенович;ТИК;УИК
район Аэропорт;190;1,06;2,70;14,20;4,11;35,80;41,20;район Аэропорт;190
район Аэропорт;191;2,50;2,64;10,28;4,48;34,12;44,66;район Аэропорт;191
район Аэропорт;192;1,77;1,98;10,71;5,41;46,15;32,22;район Аэропорт;192
район Аэропорт;193;1,07;1,28;12,21;4,71;41,86;37,69;район Аэропорт;193
район Аэропорт;194;1,59;3,07;12,90;2,11;36,99;42,18;район Аэропорт;194
район Аэропорт;195;1,11;4,23;15,91;3,67;28,59;45,05;район Аэропорт;195
район Аэропорт;196;2,12;2,45;13,07;4,25;34,80;41,99;район Аэропорт;196
район Аэропорт;197;2,68;3,26;11,42;4,08;34,15;42,77;район Аэропорт;197
район Аэропорт;198;2,66;3,74;12,80;3,86;30,19;43,36;район Аэропорт;198
район Аэропорт;199;1,62;2,80;12,51;4,42;42,39;35,28;район Аэропорт;199
район Аэропорт;200;3,98;4,42;13,25;2,50;33,87;40,50;район Аэропорт;200
район Аэропорт;201;3,80;4,09;10,38;3,22;30,70;44,30;район Аэропорт;201
район Аэропорт;202;0,29;0,88;4,68;2,63;62,87;27,78;район Аэропорт;202
район Аэропорт;203;2,40;2,16;14,53;3,48;36,49;39,14;район Аэропорт;203
район Аэропорт;204;2,66;3,33;11,58;3,20;32,89;44,47;район Аэропорт;204
район Аэропорт;205;1,99;1,74;10,59;4,98;35,62;43,21;район Аэропорт;205
район Аэропорт;206;2,09;2,42;12,43;2,97;31,68;46,86;район Аэропорт;206
район Аэропорт;3633;0,00;11,11;11,11;0,00;11,11;66,67;район Аэропорт;3633
район Аэропорт;3634;4,17;0,00;12,50;4,17;12,50;66,67;район Аэропорт;3634
район Аэропорт;3635;0,00;0,00;0,00;0,00;0,00;100,00;район Аэропорт;3635
район Беговой ;207;2,14;1,58;13,98;2,82;34,95;43,74;район Беговой ;207
район Беговой ;208;2,40;2,13;10,25;3,99;32,76;46,87;район Беговой ;208
район Беговой ;209;2,47;2,01;11,73;3,70;35,65;43,52;район Беговой ;209
район Беговой ;210;0,52;3,28;12,84;4,72;43,77;33,94;район Беговой ;210
район Беговой ;211;2,37;3,11;12,15;3,11;28,89;48,00;район Беговой ;211
район Беговой ;212;2,06;2,65;13,86;5,31;29,50;45,72;район Беговой ;212
район Беговой ;213;1,59;4,30;9,24;5,10;31,21;46,82;район Беговой ;213
район Беговой ;214;1,69;3,38;10,55;3,80;37,69;41,07;район Беговой ;214
район Беговой ;215;2,90;2,62;12,14;4,55;36,14;40,28;район Беговой ;215
район Беговой ;216;1,34;2,01;12,57;4,01;33,29;45,99;район Беговой ;216
район Беговой ;217;2,14;2,28;11,66;3,75;32,31;46,78;район Беговой ;217
район Беговой ;3636;3,65;3,38;9,88;3,52;15,56;61,84;район Беговой ;3636
район Беговой ;3637;0,00;0,00;3,45;6,90;17,24;72,41;район Беговой ;3637
район Беговой ;3638;1,43;5,71;11,43;2,86;15,71;62,86;район Беговой ;3638
Бескудниковский район ;218;3,14;1,57;8,38;3,01;30,50;52,88;Бескудниковский район ;218
Бескудниковский район ;219;4,02;4,02;12,27;2,62;21,33;53,32;Бескудниковский район ;219
Бескудниковский район ;220;3,90;2,86;11,70;3,90;26,14;49,15;Бескудниковский район ;220
Бескудниковский район ;221;2,22;1,29;12,75;2,40;24,77;55,27;Бескудниковский район ;221
Бескудниковский район ;222;3,03;3,33;11,36;4,85;25,61;49,85;Бескудниковский район ;222
Бескудниковский район ;223;3,15;2,48;10,60;3,31;21,52;57,28;Бескудниковский район ;223
Бескудниковский район ;224;3,61;2,92;12,22;2,36;20,83;55,56;Бескудниковский район ;224
Бескудниковский район ;225;2,36;2,78;13,75;1,39;20,56;55,97;Бескудниковский район ;225
Бескудниковский район ;226;2,61;1,31;11,61;3,34;25,83;53,85;Бескудниковский район ;226
Бескудниковский район ;227;5,02;2,76;10,05;2,59;19,12;58,83;Бескудниковский район ;227
Бескудниковский район ;228;2,74;2,02;14,70;2,59;20,17;56,20;Бескудниковский район ;228
Бескудниковский район ;229;4,37;3,85;8,22;3,15;17,13;60,84;Бескудниковский район ;229
Бескудниковский район ;230;3,25;1,71;8,55;2,39;25,81;55,73;Бескудниковский район ;230
Бескудниковский район ;231;2,65;2,32;9,62;2,32;18,24;63,18;Бескудниковский район ;231
Бескудниковский район ;232;3,19;1,98;10,64;2,89;24,16;56,08;Бескудниковский район ;232
Бескудниковский район ;233;2,59;2,72;11,28;2,72;23,22;56,16;Бескудниковский район ;233
Бескудниковский район ;234;4,01;2,08;10,39;2,82;23,15;55,93;Бескудниковский район ;234
Бескудниковский район ;235;3,35;2,57;10,55;2,70;21,24;57,66;Бескудниковский район ;235
Бескудниковский район ;236;3,97;2,23;11,41;4,59;22,46;53,10;Бескудниковский район ;236
Бескудниковский район ;237;2,02;2,43;10,65;3,50;28,98;51,62;Бескудниковский район ;237
Бескудниковский район ;238;2,92;2,28;10,01;4,06;25,86;53,36;Бескудниковский район ;238
Бескудниковский район ;3639;3,45;3,45;17,24;0,00;10,34;65,52;Бескудниковский район ;3639
Бескудниковский район ;3640;2,86;2,86;5,71;0,00;25,71;62,86;Бескудниковский район ;3640
район Савелки;3238;1,81;4,82;10,84;3,61;27,11;51,00;район Савелки;3238
район Савелки;3239;2,06;3,50;11,11;2,06;28,19;52,06;район Савелки;3239
район Савелки;3240;4,75;4,34;11,36;2,07;25,62;50,21;район Савелки;3240
район Савелки;3241;1,32;2,45;10,38;1,51;25,47;58,11;район Савелки;3241
район Савелки;3242;1,96;3,26;9,35;3,48;25,43;54,13;район Савелки;3242
район Савелки;3243;3,16;3,16;12,11;2,63;29,74;49,21;район Савелки;3243
район Савелки;3244;2,22;2,22;16,01;3,20;27,83;46,80;район Савелки;3244
район Савелки;3245;3,73;3,93;6,21;2,28;24,64;56,94;район Савелки;3245
район Савелки;3246;2,71;3,52;7,59;3,25;31,17;49,59;район Савелки;3246
район Савелки;3247;1,61;3,87;9,03;1,94;28,39;53,87;район Савелки;3247
район Савелки;3248;2,93;3,39;10,16;1,58;25,51;54,63;район Савелки;3248
район Савелки;3249;2,73;0,73;6,74;2,73;42,08;44,08;район Савелки;3249
район Савелки;3250;4,97;2,05;11,40;1,75;25,15;53,51;район Савелки;3250
район Савелки;3251;3,81;4,63;12,53;2,18;26,98;49,05;район Савелки;3251
район Савелки;3252;2,30;3,45;8,91;0,57;22,13;60,34;район Савелки;3252
район Савелки;3253;3,42;3,42;7,33;2,93;26,89;53,79;район Савелки;3253
район Савелки;3254;2,58;3,69;9,78;2,03;22,32;57,56;район Савелки;3254
район Савелки;3255;4,66;2,07;12,95;3,11;19,17;57,51;район Савелки;3255
район Савелки;3256;1,74;3,23;9,93;2,73;22,33;58,56;район Савелки;3256
район Савелки;3257;1,27;3,18;11,78;3,18;18,15;61,46;район Савелки;3257
район Савелки;3791;2,81;4,60;16,37;1,79;13,55;59,34;район Савелки;3791
Войковский район;239;2,80;6,48;10,17;3,05;27,32;49,17;Войковский район;239
Войковский район;240;2,52;4,72;12,38;3,67;28,96;46,38;Войковский район;240
Войковский район;241;1,89;2,89;12,33;3,14;33,46;45,66;Войковский район;241
Войковский район;242;2,42;5,07;9,69;3,34;29,99;47,98;Войковский район;242
Войковский район;243;1,55;3,58;9,56;6,45;34,05;43,01;Войковский район;243
Войковский район;244;3,50;4,31;13,34;5,39;28,30;44,20;Войковский район;244
Войковский район;245;3,16;3,59;13,51;4,45;29,74;44,68;Войковский район;245
Войковский район;246;4,59;5,38;12,07;3,02;22,83;50,66;Войковский район;246
Войковский район;247;3,42;5,13;9,69;2,85;31,01;46,52;Войковский район;247
Войковский район;248;1,56;2,40;13,72;2,40;29,99;49,08;Войковский район;248
Войковский район;249;3,09;2,85;12,11;4,39;31,95;44,54;Войковский район;249
Войковский район;250;1,65;2,76;12,24;3,75;35,83;42,45;Войковский район;250
Войковский район;251;3,04;3,17;11,89;3,57;26,68;50,33;Войковский район;251
Войковский район;252;3,13;2,56;12,07;4,69;29,26;46,16;Войковский район;252
Войковский район;253;2,22;4,21;10,05;3,86;31,43;46,73;Войковский район;253
Войковский район;254;3,37;4,05;11,07;4,05;31,98;44,53;Войковский район;254
Войковский район;255;2,35;3,99;11,38;4,46;34,15;41,55;Войковский район;255
Войковский район;256;1,49;3,09;13,37;4,08;33,79;43,19;Войковский район;256
Войковский район;3641;0,56;1,69;0,00;0,56;18,08;77,40;Войковский район;3641
район Восточное Дегунино;257;2,00;1,53;12,26;2,59;25,94;54,36;район Восточное Дегунино;257
район Восточное Дегунино;258;1,57;2,48;10,18;2,87;23,63;57,96;район Восточное Дегунино;258
район Восточное Дегунино;259;3,29;2,24;9,18;3,06;23,88;56,82;район Восточное Дегунино;259
район Восточное Дегунино;260;3,21;1,96;13,97;1,40;18,72;57,54;район Восточное Дегунино;260
район Восточное Дегунино;261;2,36;1,33;10,93;3,10;20,83;58,79;район Восточное Дегунино;261
район Восточное Дегунино;262;2,98;1,86;12,05;4,60;18,76;56,89;район Восточное Дегунино;262
район Восточное Дегунино;263;4,05;2,40;11,39;2,70;20,09;57,87;район Восточное Дегунино;263
район Восточное Дегунино;264;2,64;2,76;11,87;2,52;21,82;56,59;район Восточное Дегунино;264
район Восточное Дегунино;265;4,58;2,53;9,16;2,65;25,66;53,49;район Восточное Дегунино;265
район Восточное Дегунино;266;4,15;3,46;10,03;2,25;19,90;58,82;район Восточное Дегунино;266
район Восточное Дегунино;267;5,14;1,58;11,33;2,64;25,96;50,86;район Восточное Дегунино;267
район Восточное Дегунино;268;2,19;3,01;9,56;3,28;27,32;53,28;район Восточное Дегунино;268
район Восточное Дегунино;269;4,79;1,60;11,40;3,19;24,17;53,14;район Восточное Дегунино;269
район Восточное Дегунино;270;2,93;2,82;11,82;4,01;26,46;50,54;район Восточное Дегунино;270
район Восточное Дегунино;271;3,01;3,13;12,04;3,47;28,82;47,92;район Восточное Дегунино;271
район Восточное Дегунино;272;3,03;0,63;9,61;3,16;25,03;55,88;район Восточное Дегунино;272
район Восточное Дегунино;273;3,44;2,48;12,38;1,93;20,63;58,05;район Восточное Дегунино;273
район Восточное Дегунино;274;4,19;1,10;10,04;2,87;23,29;56,40;район Восточное Дегунино;274
район Восточное Дегунино;275;3,68;1,84;10,69;3,22;21,49;57,13;район Восточное Дегунино;275
район Восточное Дегунино;276;4,38;3,61;11,34;1,93;19,46;56,96;район Восточное Дегунино;276
район Восточное Дегунино;277;4,27;1,99;13,11;2,56;21,08;54,42;район Восточное Дегунино;277
район Восточное Дегунино;278;3,34;0,93;12,15;2,54;20,69;58,08;район Восточное Дегунино;278
район Восточное Дегунино;279;3,72;2,37;9,81;1,80;21,65;59,08;район Восточное Дегунино;279
район Восточное Дегунино;280;3,41;2,73;12,61;6,93;17,84;55,34;район Восточное Дегунино;280
Головинский район;281;4,33;4,03;9,40;2,24;21,04;58,06;Головинский район;281
Головинский район;282;4,02;3,86;10,61;3,86;27,01;49,04;Головинский район;282
Головинский район;283;2,78;2,78;11,48;3,13;25,06;51,39;Головинский район;283
Головинский район;284;1,95;2,07;15,69;3,41;29,20;46,11;Головинский район;284
Головинский район;285;2,62;1,79;12,26;4,29;23,81;53,33;Головинский район;285
Головинский район;286;2,01;3,91;10,90;2,84;24,76;54,86;Головинский район;286
Головинский район;287;2,56;2,26;10,97;4,41;33,03;45,23;Головинский район;287
Головинский район;288;1,59;3,52;9,99;1,93;28,49;51,19;Головинский район;288
Головинский район;289;1,61;1,95;11,94;4,36;33,64;45,12;Головинский район;289
Головинский район;290;2,74;2,97;12,11;4,00;30,97;45,49;Головинский район;290
Головинский район;291;2,64;2,64;10,56;4,20;24,01;54,38;Головинский район;291
Головинский район;292;1,39;3,74;10,26;2,64;26,63;53,81;Головинский район;292
Головинский район;293;3,54;3,06;11,27;4,03;23,35;49,44;Головинский район;293
Головинский район;294;2,60;3,90;13,31;3,08;25,00;50,65;Головинский район;294
Головинский район;295;1,76;3,08;14,08;5,28;22,73;50,88;Головинский район;295
Головинский район;296;1,72;3,17;12,55;3,43;27,08;49,93;Головинский район;296
Головинский район;297;2,67;3,87;15,09;3,74;24,30;47,93;Головинский район;297
Головинский район;298;3,78;4,66;13,10;2,62;25,18;49,20;Головинский район;298
Головинский район;299;2,36;2,98;11,80;2,48;30,19;48,94;Головинский район;299
Головинский район;300;4,01;2,13;10,39;4,51;27,28;50,44;Головинский район;300
Головинский район;301;2,25;2,81;8,72;3,23;35,02;45,99;Головинский район;301
Головинский район;302;4,09;2,99;14,31;2,04;22,89;50,27;Головинский район;302
Головинский район;303;2,83;3,96;14,14;4,24;25,18;47,10;Головинский район;303
Головинский район;304;3,27;3,00;15,14;2,18;25,38;48,98;Головинский район;304
Головинский район;305;2,88;3,04;11,18;1,92;24,60;53,83;Головинский район;305
Головинский район;306;4,85;2,42;11,84;3,23;18,44;57,74;Головинский район;306
Дмитровский район;307;2,95;1,71;9,49;2,64;18,04;63,61;Дмитровский район;307
Дмитровский район;308;2,65;1,64;6,83;2,91;17,32;67,13;Дмитровский район;308
Дмитровский район;309;2,45;2,26;9,60;2,26;19,40;63,09;Дмитровский район;309
Дмитровский район;310;3,96;2,47;8,03;1,85;20,27;61,56;Дмитровский район;310
Дмитровский район;311;3,05;2,59;7,16;1,52;20,12;62,35;Дмитровский район;311
Дмитровский район;312;4,25;1,23;6,31;1,10;18,52;67,76;Дмитровский район;312
Дмитровский район;313;3,89;2,84;8,23;2,54;14,97;66,02;Дмитровский район;313
Дмитровский район;314;5,64;2,39;7,38;1,52;20,17;61,39;Дмитровский район;314
Дмитровский район;315;2,29;1,52;9,78;2,67;20,97;60,99;Дмитровский район;315
Дмитровский район;316;3,03;2,18;8,72;2,66;20,46;61,74;Дмитровский район;316
Дмитровский район;317;1,51;0,76;10,73;2,42;14,35;69,03;Дмитровский район;317
Дмитровский район;318;4,76;1,96;8,26;2,80;16,67;63,31;Дмитровский район;318
Дмитровский район;319;4,42;1,74;7,51;1,47;15,42;68,23;Дмитровский район;319
Дмитровский район;320;4,06;2,47;7,42;1,24;15,19;68,20;Дмитровский район;320
Дмитровский район;321;1,70;1,84;8,91;1,70;19,09;65,77;Дмитровский район;321
Дмитровский район;322;4,19;1,88;6,94;3,47;20,38;60,40;Дмитровский район;322
Дмитровский район;323;2,82;1,57;7,37;3,45;20,53;61,91;Дмитровский район;323
Дмитровский район;324;2,49;1,30;11,36;2,37;21,07;60,12;Дмитровский район;324
Дмитровский район;325;2,78;1,94;10,41;2,66;19,98;60,41;Дмитровский район;325
Дмитровский район;326;3,25;1,63;12,13;2,50;21,25;57,25;Дмитровский район;326
Дмитровский район;327;3,07;2,27;11,20;2,53;20,00;59,60;Дмитровский район;327
Дмитровский район;328;2,57;2,20;7,89;2,02;19,82;64,77;Дмитровский район;328
Дмитровский район;3642;1,49;2,49;8,46;0,99;14,43;72,14;Дмитровский район;3642
район Западное Дегунино;329;4,11;2,83;8,35;3,08;18,64;61,83;район Западное Дегунино;329
район Западное Дегунино;330;3,29;3,42;9,73;2,33;23,15;55,07;район Западное Дегунино;330
район Западное Дегунино;331;4,18;2,53;12,04;2,28;19,65;58,56;район Западное Дегунино;331
район Западное Дегунино;332;3,95;0,92;9,35;2,50;23,58;58,23;район Западное Дегунино;332
район Западное Дегунино;333;3,18;1,84;6,61;4,90;22,28;60,47;район Западное Дегунино;333
район Западное Дегунино;334;3,21;1,73;9,14;3,95;23,70;56,67;район Западное Дегунино;334
район Западное Дегунино;335;0,00;0,00;0,00;0,00;1,54;98,46;район Западное Дегунино;335
район Западное Дегунино;336;1,74;2,78;9,74;2,67;21,58;59,98;район Западное Дегунино;336
район Западное Дегунино;337;3,26;1,45;10,51;2,66;17,63;63,16;район Западное Дегунино;337
район Западное Дегунино;338;4,24;1,90;8,59;2,34;24,67;56,92;район Западное Дегунино;338
район Западное Дегунино;339;3,63;1,26;10,74;2,37;27,06;53,56;район Западное Дегунино;339
район Западное Дегунино;340;3,82;2,89;8,68;1,97;22,69;57,87;район Западное Дегунино;340
район Западное Дегунино;341;3,43;1,43;9,59;3,58;25,32;55,36;район Западное Дегунино;341
район Западное Дегунино;342;2,29;1,96;12,42;2,29;24,67;54,74;район Западное Дегунино;342
район Западное Дегунино;343;2,84;2,06;7,99;2,96;26,03;56,96;район Западное Дегунино;343
район Западное Дегунино;344;2,14;1,38;11,70;5,28;19,62;58,62;район Западное Дегунино;344
район Западное Дегунино;345;2,79;1,82;10,75;2,09;17,46;62,85;район Западное Дегунино;345
район Западное Дегунино;346;2,90;2,07;8,97;3,17;27,17;54,62;район Западное Дегунино;346
район Западное Дегунино;347;1,58;2,21;9,64;2,53;17,69;62,72;район Западное Дегунино;347
район Западное Дегунино;348;4,41;1,98;11,23;1,54;25,33;53,52;район Западное Дегунино;348
район Западное Дегунино;349;5,09;2,15;7,24;1,96;23,29;56,75;район Западное Дегунино;349
район Западное Дегунино;350;5,60;2,80;12,40;2,00;22,40;52,80;район Западное Дегунино;350
район Западное Дегунино;3643;0,00;6,67;3,33;0,00;3,33;86,67;район Западное Дегунино;3643
район Коптево;351;2,40;2,86;14,87;3,89;33,18;41,53;район Коптево;351
район Коптево;352;3,62;2,54;12,56;4,47;29,83;45,53;район Коптево;352
район Коптево;353;2,88;1,71;13,55;3,09;29,78;47,39;район Коптево;353
район Коптево;354;2,82;3,66;15,21;3,80;22,82;50,00;район Коптево;354
район Коптево;355;2,61;2,23;13,90;2,98;28,29;49,01;район Коптево;355
район Коптево;356;2,50;2,12;10,00;3,85;23,85;55,96;район Коптево;356
район Коптево;357;3,39;1,69;13,02;3,52;27,34;48,31;район Коптево;357
район Коптево;358;2,50;2,40;12,71;3,85;28,44;48,02;район Коптево;358
район Коптево;359;3,27;1,69;11,15;3,94;34,68;42,91;район Коптево;359
район Коптево;360;5,37;4,03;10,74;4,70;19,97;54,03;район Коптево;360
район Коптево;361;2,06;2,43;10,92;4,61;24,15;54,00;район Коптево;361
район Коптево;362;2,63;1,76;16,19;5,14;25,47;47,30;район Коптево;362
район Коптево;363;1,77;3,55;12,14;3,00;28,38;49,39;район Коптево;363
район Коптево;364;2,10;2,55;13,04;2,40;30,88;48,43;район Коптево;364
район Коптево;365;2,59;3,36;12,16;3,88;27,17;49,42;район Коптево;365
район Коптево;366;3,60;3,33;15,33;4,13;22,40;48,40;район Коптево;366
район Коптево;367;4,37;2,98;11,50;3,41;29,71;46,33;район Коптево;367
район Коптево;368;3,10;2,89;11,88;4,28;35,22;41,22;район Коптево;368
район Коптево;369;3,63;2,31;11,43;4,51;27,14;49,01;район Коптево;369
район Коптево;370;3,34;1,73;12,21;2,88;23,85;53,80;район Коптево;370
район Коптево;371;2,75;2,20;17,91;3,99;24,52;46,01;район Коптево;371
район Коптево;372;1,73;2,31;14,07;4,38;33,56;41,52;район Коптево;372
район Коптево;373;2,28;3,52;13,46;3,93;33,85;41,20;район Коптево;373
район Коптево;374;2,35;3,32;12,72;3,87;29,74;46,20;район Коптево;374
район Коптево;3645;2,78;2,78;5,56;2,78;19,44;66,67;район Коптево;3645
район Коптево;3646;7,52;1,50;21,80;4,51;10,53;50,38;район Коптево;3646
Левобережный район;375;1,20;2,81;12,70;4,68;32,89;45,05;Левобережный район;375
Левобережный район;376;2,17;2,71;12,91;4,56;32,75;43,60;Левобережный район;376
Левобережный район;377;2,35;3,59;11,52;4,34;35,19;41,88;Левобережный район;377
Левобережный район;378;1,73;2,14;12,92;5,29;30,82;45,27;Левобережный район;378
Левобережный район;379;2,85;2,48;9,28;2,60;35,77;46,29;Левобережный район;379
Левобережный район;380;1,39;1,77;10,25;4,43;29,24;51,90;Левобережный район;380
Левобережный район;381;3,14;3,38;12,67;3,62;23,88;50,54;Левобережный район;381
Левобережный район;382;1,54;1,78;12,71;4,04;27,91;50,59;Левобережный район;382
Левобережный район;383;3,78;3,22;10,36;3,92;27,87;48,46;Левобережный район;383
Левобережный район;384;1,96;1,96;9,90;4,24;37,87;43,20;Левобережный район;384
Левобережный район;385;2,61;2,61;10,31;4,57;33,42;44,91;Левобережный район;385
Левобережный район;386;2,29;2,42;12,09;4,96;39,44;37,66;Левобережный район;386
Левобережный район;387;2,84;1,42;9,93;0,00;28,37;57,45;Левобережный район;387
Левобережный район;388;0,95;1,11;3,63;0,79;5,06;88,15;Левобережный район;388
Левобережный район;3647;0,00;1,59;15,87;3,17;6,35;71,43;Левобережный район;3647
Левобережный район;3648;0,00;0,00;0,00;0,00;0,00;100,00;Левобережный район;3648
Молжаниновский район;389;3,15;2,97;12,80;7,24;16,88;54,73;Молжаниновский район;389
Савеловский район;390;2,90;3,40;9,45;3,78;34,26;44,21;Савеловский район;390
Савеловский район;391;2,27;1,67;10,30;5,00;34,09;45,30;Савеловский район;391
Савеловский район;392;3,57;3,06;9,34;4,58;28,52;49,92;Савеловский район;392
Савеловский район;393;2,99;1,28;9,30;4,28;35,61;45,13;Савеловский район;393
Савеловский район;394;2,67;3,67;7,83;4,83;33,00;45,67;Савеловский район;394
Савеловский район;395;3,37;2,05;10,83;3,37;28,99;50,51;Савеловский район;395
Савеловский район;396;3,79;4,85;10,41;3,55;28,28;47,34;Савеловский район;396
Савеловский район;397;4,11;3,96;10,81;3,20;31,96;44,44;Савеловский район;397
Савеловский район;398;4,22;2,18;12,65;3,92;29,65;46,22;Савеловский район;398
Савеловский район;399;1,19;2,86;11,07;3,93;29,64;49,76;Савеловский район;399
Савеловский район;400;5,51;3,57;11,22;2,24;22,96;52,45;Савеловский район;400
Савеловский район;401;2,56;1,78;11,15;4,24;28,09;49,16;Савеловский район;401
Савеловский район;402;3,90;2,26;11,19;3,52;30,31;46,92;Савеловский район;402
Савеловский район;403;2,16;2,40;11,64;4,20;30,61;47,78;Савеловский район;403
Савеловский район;404;3,16;2,64;10,65;4,85;32,91;44,30;Савеловский район;404
Савеловский район;3649;4,41;5,88;4,41;4,41;27,94;52,94;Савеловский район;3649
Савеловский район;3650;0,95;5,21;9,95;1,90;16,11;62,09;Савеловский район;3650
район Сокол;405;1,60;3,70;11,21;4,90;38,44;38,94;район Сокол;405
район Сокол;406;1,02;3,55;12,18;5,58;34,26;41,75;район Сокол;406
район Сокол;407;1,80;3,35;17,01;4,19;31,62;40,84;район Сокол;407
район Сокол;408;1,54;3,85;13,33;2,53;40,42;36,89;район Сокол;408
район Сокол;409;2,00;3,18;8,35;3,88;40,47;40,82;район Сокол;409
район Сокол;410;5,63;5,28;11,80;3,52;30,28;41,90;район Сокол;410
район Сокол;411;3,90;3,25;10,39;4,55;34,58;41,72;район Сокол;411
район Сокол;412;1,31;2,79;8,85;4,43;38,36;43,11;район Сокол;412
район Сокол;413;1,38;4,14;11,46;4,35;35,67;41,61;район Сокол;413
район Сокол;414;1,65;3,41;13,06;4,35;37,18;39,29;район Сокол;414
район Сокол;415;1,37;3,70;13,21;3,38;37,84;38,79;район Сокол;415
район Сокол;416;2,17;4,94;9,28;6,02;43,25;33,37;район Сокол;416
район Сокол;417;1,29;3,35;11,60;3,74;43,81;34,79;район Сокол;417
район Сокол;418;1,93;3,41;14,30;4,65;37,12;37,80;район Сокол;418
район Сокол;3651;0,00;10,00;0,00;0,00;30,00;60,00;район Сокол;3651
район Сокол;3652;6,06;0,00;6,06;9,09;12,12;63,64;район Сокол;3652
Тимирязевский район;419;2,26;1,85;12,65;10,29;30,35;41,87;Тимирязевский район;419
Тимирязевский район;420;2,86;1,99;10,56;3,23;32,30;47,45;Тимирязевский район;420
Тимирязевский район;421;3,19;2,96;10,47;3,75;32,08;45,62;Тимирязевский район;421
Тимирязевский район;422;2,84;3,58;13,23;3,46;30,66;44,00;Тимирязевский район;422
Тимирязевский район;423;1,78;3,44;13,49;4,96;28,88;46,18;Тимирязевский район;423
Тимирязевский район;424;3,06;2,93;16,26;4,52;34,96;36,67;Тимирязевский район;424
Тимирязевский район;425;2,49;2,49;15,86;3,15;28,44;45,74;Тимирязевский район;425
Тимирязевский район;426;2,01;3,38;12,25;5,39;32,73;42,98;Тимирязевский район;426
Тимирязевский район;427;1,96;1,64;13,91;3,44;30,44;46,97;Тимирязевский район;427
Тимирязевский район;428;3,03;2,67;11,76;3,76;33,21;44,61;Тимирязевский район;428
Тимирязевский район;429;1,81;2,89;11,01;3,61;29,24;50,00;Тимирязевский район;429
Тимирязевский район;430;2,87;2,42;11,48;3,63;22,36;54,08;Тимирязевский район;430
Тимирязевский район;431;2,66;1,83;11,79;2,49;27,91;51,83;Тимирязевский район;431
Тимирязевский район;432;2,78;2,26;13,19;3,65;25,52;50,87;Тимирязевский район;432
Тимирязевский район;433;2,24;2,50;15,02;3,56;23,19;50,99;Тимирязевский район;433
Тимирязевский район;434;4,11;3,29;12,32;5,03;26,08;48,77;Тимирязевский район;434
Тимирязевский район;435;3,76;1,18;11,29;3,53;31,53;47,76;Тимирязевский район;435
Тимирязевский район;436;2,70;3,20;13,81;3,80;34,33;41,14;Тимирязевский район;436
Тимирязевский район;437;1,77;3,65;12,51;3,54;34,66;42,64;Тимирязевский район;437
Тимирязевский район;438;2,09;3,04;13,51;5,03;36,13;39,27;Тимирязевский район;438
Тимирязевский район;439;2,17;3,32;14,54;4,85;30,61;43,37;Тимирязевский район;439
Тимирязевский район;3653;5,46;1,56;11,31;4,29;17,15;57,89;Тимирязевский район;3653
район Ховрино;440;2,19;2,55;11,79;2,92;31,11;47,87;район Ховрино;440
район Ховрино;441;2,01;3,02;10,88;4,73;34,54;44,11;район Ховрино;441
район Ховрино;442;1,31;1,62;8,09;5,26;39,33;43,48;район Ховрино;442
район Ховрино;443;1,96;1,85;11,97;2,29;37,87;42,55;район Ховрино;443
район Ховрино;444;1,45;2,78;12,46;5,12;34,48;42,71;район Ховрино;444
район Ховрино;445;3,58;3,02;12,40;3,91;26,93;47,71;район Ховрино;445
район Ховрино;446;1,45;2,23;10,38;3,30;32,30;47,04;район Ховрино;446
район Ховрино;447;2,70;1,62;10,80;4,86;30,23;48,31;район Ховрино;447
район Ховрино;448;1,94;2,86;11,43;4,57;29,94;47,43;район Ховрино;448
район Ховрино;449;1,64;2,29;10,92;3,71;28,71;50,98;район Ховрино;449
район Ховрино;450;2,55;2,80;9,25;2,92;31,14;49,39;район Ховрино;450
район Ховрино;451;1,48;2,34;11,34;3,33;33,79;46,49;район Ховрино;451
район Ховрино;452;2,54;2,01;11,90;2,81;34,22;45,45;район Ховрино;452
район Ховрино;453;2,88;1,81;10,97;4,05;34,40;44,20;район Ховрино;453
район Ховрино;454;2,84;2,84;10,84;5,67;29,38;47,21;район Ховрино;454
район Ховрино;455;3,92;2,01;8,16;7,31;31,36;45,55;район Ховрино;455
район Ховрино;456;2,09;2,48;8,87;3,91;30,77;49,54;район Ховрино;456
район Ховрино;457;3,06;3,67;11,49;4,16;27,26;48,53;район Ховрино;457
район Ховрино;458;2,59;1,76;9,05;5,99;26,20;53,70;район Ховрино;458
район Ховрино;459;1,95;2,85;9,73;3,50;36,58;42,67;район Ховрино;459
район Ховрино;460;3,61;3,73;9,88;4,22;30,72;46,63;район Ховрино;460
Хорошевский район;461;2,69;3,40;9,72;2,81;37,12;43,21;Хорошевский район;461
Хорошевский район;462;2,41;3,43;9,64;4,95;34,14;44,42;Хорошевский район;462
Хорошевский район;463;2,72;2,27;14,95;3,40;28,09;48,02;Хорошевский район;463
Хорошевский район;464;2,80;3,42;14,61;3,63;28,29;45,70;Хорошевский район;464
Хорошевский район;465;2,52;4,81;13,06;5,38;32,76;40,44;Хорошевский район;465
Хорошевский район;466;2,43;3,75;13,89;3,20;31,09;44,21;Хорошевский район;466
